entry_id,name,count,card_type,type,is_ex,match_status,candidate_count,best_set_code,best_card_number,best_pack_name,best_expansion,base_score,final_score,confidence_tier,next_action,blockers
mawile,Mawile,1,Pokemon,Metal,False,exact_match,1,B2,112,Fantastical Parade,Fantastical Parade,0.95,1.0,auto_accept,no_action_needed,
varoom,Varoom,1,Pokemon,Metal,False,ambiguous_cross_set,2,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
vibrava,Vibrava,1,Pokemon,Dragon,False,exact_match,1,B3,125,Pulsing Aura,Pulsing Aura,0.95,1.0,auto_accept,no_action_needed,
dratini,Dratini,1,Pokemon,Dragon,False,unanimous_pack,2,B2b,51,Mega Shine,Mega Shine,0.85,0.91,secondary_evidence,needs_secondary_evidence,
stoutland,Stoutland,1,Pokemon,Colorless,False,ambiguous_cross_set,3,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
herdier,Herdier,3,Pokemon,Colorless,False,ambiguous_cross_set,2,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
lillipup,Lillipup,3,Pokemon,Colorless,False,ambiguous_cross_set,2,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
dodrio,Dodrio,1,Pokemon,Colorless,False,exact_match,1,B1,315,Mega Blaziken,Mega Rising,0.95,1.0,auto_accept,no_action_needed,
corvisquire,Corvisquire,1,Pokemon,Colorless,False,ambiguous_cross_set,2,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
corviknight_ex,Corviknight ex,1,Pokemon,Colorless,True,unanimous_pack,3,B3,124,Pulsing Aura,Pulsing Aura,0.85,0.86,secondary_evidence,needs_secondary_evidence,pokemon_type_mismatch_between_collection_and_pack_sources
porygon2,Porygon2,1,Pokemon,Colorless,False,ambiguous_cross_set,2,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
porygon,Porygon,3,Pokemon,Colorless,False,ambiguous_cross_set,2,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
staraptor,Staraptor,5,Pokemon,Colorless,False,exact_match,1,B1a,61,Crimson Blaze,Crimson Blaze,0.95,1.0,auto_accept,no_action_needed,
staravia,Staravia,1,Pokemon,Colorless,False,exact_match,1,B1a,60,Crimson Blaze,Crimson Blaze,0.95,1.0,auto_accept,no_action_needed,
starly,Starly,2,Pokemon,Colorless,False,exact_match,1,B1a,59,Crimson Blaze,Crimson Blaze,0.95,1.0,auto_accept,no_action_needed,
bouffalant,Bouffalant,2,Pokemon,Colorless,False,exact_match,1,B1a,64,Crimson Blaze,Crimson Blaze,0.95,1.0,auto_accept,no_action_needed,
furfrou,Furfrou,1,Pokemon,Colorless,False,ambiguous_cross_set,7,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
ditto,Ditto,1,Pokemon,Colorless,False,exact_match,1,B1a,55,Crimson Blaze,Crimson Blaze,0.95,1.0,auto_accept,no_action_needed,
ursaring,Ursaring,1,Pokemon,Colorless,False,exact_match,1,B3,132,Pulsing Aura,Pulsing Aura,0.95,1.0,auto_accept,no_action_needed,
audino,Audino,1,Pokemon,Colorless,False,exact_match,1,B3,140,Pulsing Aura,Pulsing Aura,0.95,1.0,auto_accept,no_action_needed,
chansey,Chansey,1,Pokemon,Colorless,False,unanimous_pack,2,B3,127,Pulsing Aura,Pulsing Aura,0.85,0.91,secondary_evidence,needs_secondary_evidence,
dubwool,Dubwool,1,Pokemon,Colorless,False,exact_match,1,B1,212,Mega Altaria,Mega Rising,0.95,1.0,auto_accept,no_action_needed,
cinccino,Cinccino,2,Pokemon,Colorless,False,ambiguous_cross_set,3,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
minccino,Minccino,4,Pokemon,Colorless,False,ambiguous_cross_set,2,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
watchog,Watchog,2,Pokemon,Colorless,False,unanimous_pack,2,B1,200,,Mega Rising,0.85,0.91,secondary_evidence,needs_secondary_evidence,
eevee,Eevee,1,Pokemon,Colorless,False,ambiguous_cross_set,2,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
castform,Castform,2,Pokemon,Colorless,False,unanimous_pack,2,B3,133,Pulsing Aura,Pulsing Aura,0.85,0.91,secondary_evidence,needs_secondary_evidence,
raticate,Raticate,1,Pokemon,Colorless,False,unanimous_pack,2,A1,190,,Genetic Apex,0.85,0.87,secondary_evidence,needs_secondary_evidence,
rattata,Rattata,2,Pokemon,Colorless,False,unanimous_pack,2,A1,189,,Genetic Apex,0.85,0.87,secondary_evidence,needs_secondary_evidence,
jigglypuff,Jigglypuff,1,Pokemon,Colorless,False,exact_match,1,B2b,58,Mega Shine,Mega Shine,0.95,1.0,auto_accept,no_action_needed,
farfetch_d,Farfetch'd,1,Pokemon,Colorless,False,ambiguous_cross_set,6,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
buneary,Buneary,2,Pokemon,Colorless,False,unanimous_pack,2,B1a,62,Crimson Blaze,Crimson Blaze,0.85,0.91,secondary_evidence,needs_secondary_evidence,
pidgey,Pidgey,2,Pokemon,Colorless,False,exact_match,1,B1,180,,Mega Rising,0.95,1.0,auto_accept,no_action_needed,
quick_grow_extract,Quick-Grow Extract,4,Trainer,,False,unanimous_pack,2,B1a,67,Crimson Blaze,Crimson Blaze,0.85,0.89,secondary_evidence,needs_secondary_evidence,
flame_patch,Flame Patch,2,Trainer,,False,unanimous_pack,2,B1,217,Mega Blaziken,Mega Rising,0.85,0.89,secondary_evidence,needs_secondary_evidence,
rare_candy,Rare Candy,1,Trainer,,False,unanimous_pack,4,A3,144,,Celestial Guardians,0.85,0.87,secondary_evidence,needs_secondary_evidence,
field_blower,Field Blower,1,Trainer,,False,exact_match,1,B3,147,Pulsing Aura,Pulsing Aura,0.95,0.99,auto_accept,no_action_needed,
giant_cape,Giant Cape,2,Trainer,,False,ambiguous_cross_set,3,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
clemont_s_backpack,Clemont's Backpack,1,Trainer,,False,exact_match,1,B1a,66,Crimson Blaze,Crimson Blaze,0.95,0.99,auto_accept,no_action_needed,
red_card,Red Card,1,Trainer,,False,no_match_known_gap,0,,,,,0.1,0.12,unresolved,not_in_limitless_db_skip_or_manual,common_trainer_not_indexed_in_limitless_db
potion,Potion,1,Trainer,,False,no_match_known_gap,0,,,,,0.1,0.12,unresolved,not_in_limitless_db_skip_or_manual,common_trainer_not_indexed_in_limitless_db
x_speed,X Speed,1,Trainer,,False,no_match_known_gap,0,,,,,0.1,0.12,unresolved,not_in_limitless_db_skip_or_manual,common_trainer_not_indexed_in_limitless_db
hand_scope,Hand Scope,1,Trainer,,False,no_match_known_gap,0,,,,,0.1,0.12,unresolved,not_in_limitless_db_skip_or_manual,common_trainer_not_indexed_in_limitless_db
pok_dex,Pokédex,1,Trainer,,False,no_match_known_gap,0,,,,,0.1,0.12,unresolved,not_in_limitless_db_skip_or_manual,common_trainer_not_indexed_in_limitless_db
pok_ball,Poké Ball,4,Trainer,,False,exact_match,1,A2b,111,Shining Revelry,Shining Revelry,0.95,0.97,auto_accept,no_action_needed,
clemont,Clemont,2,Trainer,,False,unanimous_pack,2,B1a,68,Crimson Blaze,Crimson Blaze,0.85,0.89,secondary_evidence,needs_secondary_evidence,
serena,Serena,1,Trainer,,False,unanimous_pack,2,B1a,69,Crimson Blaze,Crimson Blaze,0.85,0.89,secondary_evidence,needs_secondary_evidence,
giovanni,Giovanni,1,Trainer,,False,ambiguous_cross_set,4,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
sabrina,Sabrina,1,Trainer,,False,ambiguous_cross_set,4,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
leaf,Leaf,1,Trainer,,False,ambiguous_cross_set,4,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
cyrus,Cyrus,1,Trainer,,False,ambiguous_cross_set,4,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
korrina,Korrina,2,Trainer,,False,unanimous_pack,2,B3,149,Pulsing Aura,Pulsing Aura,0.85,0.89,secondary_evidence,needs_secondary_evidence,
cheren,Cheren,2,Trainer,,False,unanimous_pack,2,B3,151,Pulsing Aura,Pulsing Aura,0.85,0.89,secondary_evidence,needs_secondary_evidence,
may,May,1,Trainer,,False,unanimous_pack,2,B1,223,Mega Blaziken,Mega Rising,0.85,0.89,secondary_evidence,needs_secondary_evidence,
copycat,Copycat,2,Trainer,,False,unanimous_pack,2,B1,225,Mega Gyarados,Mega Rising,0.85,0.89,secondary_evidence,needs_secondary_evidence,
lillie,Lillie,1,Trainer,,False,ambiguous_cross_set,6,,,,,0.5,0.52,low_confidence,needs_candidate_disambiguation,card_appears_in_multiple_expansions_cannot_determine_which
professor_s_research,Professor's Research,4,Trainer,,False,exact_match,1,A4b,373,Deluxe Pack: ex,Deluxe Pack: ex,0.95,0.97,auto_accept,no_action_needed,
starting_plains,Starting Plains,1,Trainer,,False,exact_match,1,B2,154,Fantastical Parade,Fantastical Parade,0.95,0.99,auto_accept,no_action_needed,
arena_of_antiquity,Arena of Antiquity,1,Trainer,,False,exact_match,1,B3,154,Pulsing Aura,Pulsing Aura,0.95,0.99,auto_accept,no_action_needed,
